date,block,plot,old_id,clip_id,rep,t_num,g_ht,y_ht,max_ht,y_pct
6/19/2021,2,F2,,PR1,1,3,9.5,,9.5,-100
6/19/2021,2,F2,,PR1,2,3,8,,8,-100
6/19/2021,2,F2,,PR1,3,2,9.4,,9.4,-100
6/19/2021,2,F2,,PR1,4,3,5,,5,-100
6/19/2021,2,F2,,PR1,5,3,7.5,,7.5,-100
6/19/2021,2,F2,,PR1,6,3,11.4,,11.4,-100
6/19/2021,2,F2,,PR1,7,3,6,,6,-100
6/19/2021,2,F2,,PR1,8,3,4.5,,4.5,-100
6/19/2021,2,F2,,PR1,9,2,5.5,,5.5,-100
6/19/2021,2,F2,,PR1,10,3,6,,6,-100
6/19/2021,2,F2,,PR2,1,2,8.3,,8.3,-100
6/19/2021,2,F2,,PR2,2,2,9.4,,9.4,-100
6/19/2021,2,F2,,PR2,3,4,9.5,,9.5,-100
6/19/2021,2,F2,,PR2,4,2,7.5,,7.5,-100
6/19/2021,2,F2,,PR2,5,2,5.4,,5.4,-100
6/19/2021,2,F2,,PR2,6,2,8.5,,8.5,-100
6/19/2021,2,F2,,PR2,7,2,6.1,,6.1,-100
6/19/2021,2,F2,,PR2,8,2,8.3,,8.3,-100
6/19/2021,2,F2,,PR2,9,2,6.8,,6.8,-100
6/19/2021,2,F2,,PR2,10,2,12.1,,12.1,-100
6/19/2021,2,F5,,CT1,1,3,14,,14,-100
6/19/2021,2,F5,,CT1,2,3,14.9,,14.9,-100
6/19/2021,2,F5,,CT1,3,2,10.4,,10.4,-100
6/19/2021,2,F5,,CT1,4,4,10.5,,10.5,-100
6/19/2021,2,F5,,CT1,5,2,12.7,,12.7,-100
6/19/2021,2,F5,,CT1,6,2,16.9,,16.9,-100
6/19/2021,2,F5,,CT1,7,2,17.9,,17.9,-100
6/19/2021,2,F5,,CT1,8,1,3.5,,3.5,-100
6/19/2021,2,F5,,CT1,9,1,13.1,,13.1,-100
6/19/2021,2,F5,,CT1,10,2,10.6,,10.6,-100
6/19/2021,2,F5,,CT2,1,2,12,,12,-100
6/19/2021,2,F5,,CT2,2,3,13,,13,-100
6/19/2021,2,F5,,CT2,3,3,12.5,,12.5,-100
6/19/2021,2,F5,,CT2,4,4,9.5,,9.5,-100
6/19/2021,2,F5,,CT2,5,3,11,,11,-100
6/19/2021,2,F5,,CT2,6,2,10,,10,-100
6/19/2021,2,F5,,CT2,7,3,9.5,,9.5,-100
6/19/2021,2,F5,,CT2,8,2,15,,15,-100
6/19/2021,2,F5,,CT2,9,3,9,,9,-100
6/19/2021,2,F5,,CT2,10,3,14.5,,14.5,-100
6/19/2021,2,F5,,PU1,1,2,10,,10,-100
6/19/2021,2,F5,,PU2,1,2,15.4,,15.4,-100
6/19/2021,2,F5,,PU2,2,2,14,,14,-100
6/19/2021,2,F5,,PU2,3,3,18.6,,18.6,-100
6/19/2021,2,F5,,PU2,4,2,16.3,,16.3,-100
6/19/2021,2,F5,,PU2,5,3,18,,18,-100
6/19/2021,2,F5,,PU2,6,3,14,,14,-100
6/19/2021,2,F5,,PU2,7,5,18.1,,18.1,-100
6/19/2021,2,F5,,PU2,8,2,9.5,,9.5,-100
6/19/2021,2,F5,,PU2,9,3,12.9,,12.9,-100
6/19/2021,2,F5,,PU2,10,2,13.7,,13.7,-100
6/19/2021,2,F5,,PR1,1,2,5.5,,5.5,-100
6/19/2021,2,F5,,PR1,2,3,8,,8,-100
6/19/2021,2,F5,,PR1,3,3,8.5,,8.5,-100
6/19/2021,2,F5,,PR1,4,3,8.5,,8.5,-100
6/19/2021,2,F5,,PR1,5,2,6.5,,6.5,-100
6/19/2021,2,F5,,PR1,6,2,8.5,,8.5,-100
6/19/2021,2,F5,,PR1,7,2,7,,7,-100
6/19/2021,2,F5,,PR1,8,3,8,,8,-100
6/19/2021,2,F5,,PR1,9,2,7.5,,7.5,-100
6/19/2021,2,F5,,PR1,10,2,5,,5,-100
6/19/2021,2,F5,,PR2,1,3,9.5,,9.5,-100
6/19/2021,2,F5,,PR2,2,3,9.5,,9.5,-100
6/19/2021,2,F5,,PR2,3,4,11,,11,-100
6/19/2021,2,F5,,PR2,4,3,8.5,,8.5,-100
6/19/2021,2,F5,,PR2,5,4,11.5,,11.5,-100
6/19/2021,2,F5,,PR2,6,3,9.5,,9.5,-100
6/19/2021,2,F5,,PR2,7,3,10.5,,10.5,-100
6/19/2021,2,F5,,PR2,8,2,4.5,,4.5,-100
6/19/2021,2,F5,,PR2,9,2,12.5,,12.5,-100
6/19/2021,2,F5,,PR2,10,3,10.5,,10.5,-100
6/19/2021,2,F10,,CT1,1,3,15,,15,-100
6/19/2021,2,F10,,CT1,2,3,11.2,,11.2,-100
6/19/2021,2,F10,,CT1,3,3,18.5,,18.5,-100
6/19/2021,2,F10,,CT1,4,4,16.1,,16.1,-100
6/19/2021,2,F10,,CT1,5,3,12.4,,12.4,-100
6/19/2021,2,F10,,CT1,6,3,15.5,,15.5,-100
6/19/2021,2,F10,,CT1,7,3,14.1,,14.1,-100
6/19/2021,2,F10,,CT1,8,3,10.5,,10.5,-100
6/19/2021,2,F10,,CT1,9,4,15.4,,15.4,-100
6/19/2021,2,F10,,CT1,10,2,14.5,,14.5,-100
6/19/2021,2,F10,,CT2,1,2,8.5,,8.5,-100
6/19/2021,2,F10,,CT2,2,3,19.5,,19.5,-100
6/19/2021,2,F10,,CT2,3,2,22.7,,22.7,-100
6/19/2021,2,F10,,CT2,4,3,17.5,,17.5,-100
